Vendor,Vendor Name,Part No,Model,Characteristic,Characteristic Description,Specification,Cp,CpK
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAB03771N,THAR 5DOOR (W502),TORQUE,Torque Value of Lock Ring,270,44.87,43.19
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAC00911N,THAR 5DOOR (W502),TORQUE,Torque Value of Lock Ring,270,42.47,40.76
DDA00882AB,AUTOMECH,0502AAA13660N,THAR 5DOOR (W502),TORQUE,LCA to lower balljoint torque,240,13.57,12.98
DDA00882AB,AUTOMECH,0502AAA13650N,THAR 5DOOR (W502),TORQUE,LCA  to Lower balljoint torque,240,12.94,12.32
DDI00001AC,IAC INTERNATIONAL AUTOMOTIVE INDIA,2301AW500240D,THAR 5DOOR (W502),OTHER,Laser Scoring - No. of Holes- Hard,2172,8.84,8.37
DDU00161AA,UNO MINDARIKA PVT LTD,1803AW500111N,THAR 5DOOR (W502),DIMN - DIMENSION,Center distance,72,7.75,7.72
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),TORQUE,SBB Anchorage torque,50,7.879,7.529
DDI00001AC,IAC INTERNATIONAL AUTOMOTIVE INDIA,2301AW502470D,THAR 5DOOR (W502),OTHER,Laser Scoring - No. of Holes- Soft,1647,7.56,7.51
DDF00006AA,FAURECIA EMISSIONS CONTROL,0901AAC01071N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,7.46
DDF00006AA,FAURECIA EMISSIONS CONTROL,0903AAB03701N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,7.37
DDM00239AB,MITSUBA INDIA PRIVATE LIMITED,0116EW500031N,THAR 5DOOR (W502),ANGLE,Wiping Angle at No load,174,7.66,7.21
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),TORQUE,SBB Anchorage torque,50,7.634,7.183
DDF00006AA,FAURECIA EMISSIONS CONTROL,0903AAB03571N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,6.69
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),TORQUE,Marriage bolt torque,45,6.959,6.638
DDF00006AA,FAURECIA EMISSIONS CONTROL,0901BAC00291N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,6.5
DDF00006AA,FAURECIA EMISSIONS CONTROL,0903AAC01261N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,6.08
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),TORQUE,Marriage bolt torque,45,6.202,5.884
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2402AW500281A,THAR 5DOOR (W502),TORQUE,ELR belt torque,50,6.182,5.838
DDF00006AA,FAURECIA EMISSIONS CONTROL,0903AAB03561N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,        ,5.71
DDU00161AA,UNO MINDARIKA PVT LTD,1705DW500071N,THAR 5DOOR (W502),DIMN - DIMENSION,Width,199,5.53,5.04
DDU00161AA,UNO MINDARIKA PVT LTD,1203HW500051N,THAR 5DOOR (W502),DIMN - DIMENSION,Top rib Center distance,54,5.45,4.82
DDU00161AA,UNO MINDARIKA PVT LTD,1203HW500051N,THAR 5DOOR (W502),DIMN - DIMENSION,Hole diameter,4.5,5.45,4.6
DDU00161AA,UNO MINDARIKA PVT LTD,1203HW500051N,THAR 5DOOR (W502),DIMN - DIMENSION,Bottom rib Center distance,54,5.28,4.58
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAC00911N,THAR 5DOOR (W502),RESISTANCE,FDM Indication: Full  Stops,140,4.67,4.38
DDI00048AA,INTEGRA AUTOMATION PRIVATE LIMITED,0401DAA05370N,THAR 5DOOR (W502),DIMN - DIMENSION,Knuckle Thickness,25,4.53,4.3
DDU00161AA,UNO MINDARIKA PVT LTD,1203HW500061N,THAR 5DOOR (W502),DIMN - DIMENSION,Centre distance,54,5.45,4.25
DDM00018AC,Motherson Sumi Wiring,1801CW500830N,THAR 5DOOR (W502),THICKNESS,Crimping Height,0.90,4.53,4.19
DDH00005AA,HARMAN INTERNATIONAL INDIA,1503AAA03181N,THAR 5DOOR (W502),DIMN - DIMENSION,Bracket Screwing Torque,7.5,4.33,4.06
DDU00161AA,UNO MINDARIKA PVT LTD,1203HW500051N,THAR 5DOOR (W502),DIMN - DIMENSION,centre distance,58,5.28,4.02
DDM00239AB,MITSUBA INDIA PRIVATE LIMITED,0116EW500031N,THAR 5DOOR (W502),CURRENT,Current at no load,2,4.69,3.98
DDM00811AA,MINDA VAST ACCESS SYSTEMS,0114GW500021N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,74.8,4.01,3.97
DDM00106AA,MARQUARDT INDIA PVT LTD.,1805AAA09401N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,7,4.05,3.96
DDM00106AA,MARQUARDT INDIA PVT LTD.,1805AW500241N,THAR 5DOOR (W502),DIMN - DIMENSION,dimensional,7,4.05,3.96
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAB03771N,THAR 5DOOR (W502),RESISTANCE,FDM Indication: Full  Stops,140,4.20,3.94
DDM00018AC,Motherson Sumi Wiring,1801CW500690N,THAR 5DOOR (W502),THICKNESS,Crimping Height,1.05,4.27,3.92
DDM00106AA,MARQUARDT INDIA PVT LTD.,1105BAA02271N,THAR 5DOOR (W502),DIMN - DIMENSION,Radius,22.6,4.59,3.87
DDM00018AC,Motherson Sumi Wiring,1801CW501280N,THAR 5DOOR (W502),THICKNESS,Crimping Height,1.10,4.31,3.86
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502980N,THAR 5DOOR (W502),POSITION,Trim Locator Slot- Z,1250,7.29,3.86
DDA00267AA,AAM AUTO COMPONENT (INDIA),0502EUA00201N,THAR 5DOOR (W502),RUNOUT,Face Runout,0.050,        ,3.81
DDU00161AA,UNO MINDARIKA PVT LTD,1803AAA01781N,THAR 5DOOR (W502),DIMN - DIMENSION,Center distance,144,4.33,3.81
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502990N,THAR 5DOOR (W502),POSITION,LH B PILLAR TRIM LOCATOR Hole 2 - X,2816.99,9.60,3.8
DDU00161AA,UNO MINDARIKA PVT LTD,1203HW500061N,THAR 5DOOR (W502),DIMN - DIMENSION,lock rib distance to wall,20,4.98,3.72
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA13980N,THAR 5DOOR (W502),INNER DIAMETER,Flange ID- LH side,102.04 +0.04/-0.0,4.030,3.667
DDM00018AC,Motherson Sumi Wiring,1801CW501020N,THAR 5DOOR (W502),THICKNESS,Crimping Height,1.15,3.72,3.6
DDI00001AC,IAC INTERNATIONAL AUTOMOTIVE INDIA,2301AW502920M,THAR 5DOOR (W502),EFFORRS,Glove Box Opening Effort,12,4.11,3.59
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503610N,THAR 5DOOR (W502),POSITION,Trim C Locator Hole - Z,1522.973,7.10,3.58
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502990N,THAR 5DOOR (W502),POSITION,LH B PILLAR TRIM LOCATOR Hole 2 - Z,1250,7.86,3.56
DDU00161AA,UNO MINDARIKA PVT LTD,1203HW500061N,THAR 5DOOR (W502),DIMN - DIMENSION,lock rib dimn,8,4.65,3.53
DDM00106AA,MARQUARDT INDIA PVT LTD.,1105BAA02271N,THAR 5DOOR (W502),DIMN - DIMENSION,DIMENSION,27.2,5.05,3.51
DDS00016AB,SATISH INJECTOPLAST,2303BW500350N,THAR 5DOOR (W502),PART WEIGHT,Gram,37.6,3.63,3.51
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA13980N,THAR 5DOOR (W502),INNER DIAMETER,Flange ID  - RH side,102.04 +0.04/-0.0,3.717,3.475
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,BODY MTG L4- X,4429.487,3.85,3.42
DDI00001AC,IAC INTERNATIONAL AUTOMOTIVE INDIA,2301AW500460M,THAR 5DOOR (W502),EFFORRS,Glove Box Closing Effort,20,5.30,3.42
DDI00088AA,INTERFACE MICRO SYSTEMS,1701AAA09441N,THAR 5DOOR (W502),DIMN - DIMENSION,LENGTH,110,4.043,3.413
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA15040N,THAR 5DOOR (W502),INNER DIAMETER,Flange ID- LH side 102,102.04 +0.04/-0.0,3.730,3.413
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,BODY MTG R4- X,4429.487,5.09,3.4
DDM00239AB,MITSUBA INDIA PRIVATE LIMITED,0116EW500031N,THAR 5DOOR (W502),OTHER,RPM,38,3.74,3.35
DDN00085XA,NOBEL AUTOMOTIVE INDIA PVT LTD,1001BAB01251N,THAR 5DOOR (W502),OUTER DIAMETER,Filler Head Top Dia,46.7,4.24,3.35
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),TORQUE,Seat track to cushion assy nut,25,3.645,3.277
DDU00161AA,UNO MINDARIKA PVT LTD,1105GAA01211N,THAR 5DOOR (W502),DIMN - DIMENSION,center distance,23,3.48,3.26
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),TORQUE,Seat track to cushion assy nut,25,3.645,3.254
DDM00018AC,Motherson Sumi Wiring,1801BW501310N,THAR 5DOOR (W502),THICKNESS,Crimping Height,1.15,3.25,3.24
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAB03771N,THAR 5DOOR (W502),OUTER DIAMETER,FDM OD,134.5,3.98,3.24
DDS00016AB,SATISH INJECTOPLAST,2303BW500330N,THAR 5DOOR (W502),PART WEIGHT,Gram,37.2,3.36,3.22
DDI00088AA,INTERFACE MICRO SYSTEMS,1701AAA09431N,THAR 5DOOR (W502),DIMN - DIMENSION,LENGTH,110,3.884,3.212
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,BKT REINF BMPR REAR LOCATOR Slot 1- X,4482.3,3.46,3.2
DDM00018AC,Motherson Sumi Wiring,1801AW501100N,THAR 5DOOR (W502),THICKNESS,Crimping Height,7.7,3.29,3.19
DDM00018AC,Motherson Sumi Wiring,1801CW500660N,THAR 5DOOR (W502),THICKNESS,Crimping Height,0.90,3.22,3.16
DDM00018AC,Motherson Sumi Wiring,1801CW500770N,THAR 5DOOR (W502),THICKNESS,Crimping Height,0.90,3.22,3.16
DDP00123AD,Purflux Engine Systems India,0313CAS00091N,THAR 5DOOR (W502),TORQUE,Torque,6.5,3.24,3.15
DDA00267AA,AAM AUTO COMPONENT (INDIA),0502EUA00201N,THAR 5DOOR (W502),RUNOUT,OD Runout,0.050,        ,3.1
DDU00161AA,UNO MINDARIKA PVT LTD,1105GAA00411N,THAR 5DOOR (W502),DIMN - DIMENSION,center distance,23,3.37,3.1
DDM00018AC,Motherson Sumi Wiring,1801CW500840N,THAR 5DOOR (W502),THICKNESS,Crimping Height,1.0,3.19,3.08
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAB03771N,THAR 5DOOR (W502),PART WEIGHT,Weight of tank body,7290,6.14,3.07
DDU00161AA,UNO MINDARIKA PVT LTD,1105GAA01211N,THAR 5DOOR (W502),DIMN - DIMENSION,center distance,23.25,3.48,3.06
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAC00911N,THAR 5DOOR (W502),DIMN - DIMENSION,Depth of FDM opening,176.6,3.75,3.06
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2402AW500281A,THAR 5DOOR (W502),EFFORRS,Seat back unfolding effort 40,80,3.195,3.045
DDM00805AA,MOONLIGHT AUTO PVT LTD,2601AW500230N,THAR 5DOOR (W502),PARALLELISM,Parallism Brake Switch mtg. to Stopper Bkt.,0,4.73,3.04
DDN00379AD,NHK SPRING INDIA LTD.,0401EBB01521N,THAR 5DOOR (W502),HARDNESS,341 to 415 BHN,378,3.23,3.04
DDA00310AA,ATHARVA FOUNDRIES PVT. LTD,0502BAA15590N004,THAR 5DOOR (W502),INNER DIAMETER,BOLT HOLE ID,18.025/18.075,3.231,3.024
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,BKT REINF BMPR REAR LOCATOR Slot 2- Y,-412.5,3.69,3.02
DDU00161AA,UNO MINDARIKA PVT LTD,1803AAA01791N,THAR 5DOOR (W502),DIMN - DIMENSION,Rib width,6,3.67,3.02
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06200N,THAR 5DOOR (W502),OUTER DIAMETER,Drum Dia,75.985/76.035,3.05,3.01
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAC00911N,THAR 5DOOR (W502),INNER DIAMETER,Diameter of FDM opening,130.5,3.40,2.97
DDL00022AA,LUMAX INDUSTRIES LIMITED,1701AW500121N,THAR 5DOOR (W502),INNER DIAMETER,Dimension,9,3.61,2.94
DDH00079AB,HL Mando Anand  India Private Limit,1104AAA07451N,THAR 5DOOR (W502),OUTER DIAMETER,Outer Tube Diameter,44,3.05,2.93
DDM00106AA,MARQUARDT INDIA PVT LTD.,1805AAA09401N,THAR 5DOOR (W502),DIMN - DIMENSION,Diemension,44.25,3,2.93
DDM00106AA,MARQUARDT INDIA PVT LTD.,1805AW500241N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,44.25,3,2.93
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),EFFORRS,Seat rearward sliding effort,50,3.362,2.93
DDM00018AC,Motherson Sumi Wiring,1801CW501750N,THAR 5DOOR (W502),THICKNESS,Crimping Height,1.10,3.02,2.9
DDA00039AC,ALF ENGINEERING PVT LTD,0101EW503680N,THAR 5DOOR (W502),PROFILE,SP2- Hinge Tail Gate Matching Surface,0,3.28,2.89
DDH00005AA,HARMAN INTERNATIONAL INDIA,1503AAA03181N,THAR 5DOOR (W502),DIMN - DIMENSION,Cover Screwing Torque,1.5,3.21,2.89
DDH00079AB,HL Mando Anand  India Private Limit,1104AAA07451N,THAR 5DOOR (W502),DIMN - DIMENSION,Keyhole Center From Poka Yoke Hole,22.4,2.89,2.88
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAC00911N,THAR 5DOOR (W502),RESISTANCE,FDM Indication:  Empty Stops,20,5.20,2.88
DDA00039AC,ALF ENGINEERING PVT LTD,0101EW503680N,THAR 5DOOR (W502),PROFILE,SP3- Hinge Tail Gate Matching Surface,0,3.88,2.86
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW503980N,THAR 5DOOR (W502),POSITION,Seat Locator 2- Y,591,4.03,2.85
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW503980N,THAR 5DOOR (W502),POSITION,Seat Locator 2- X,2446.729,4.06,2.84
DDU00161AA,UNO MINDARIKA PVT LTD,1705DW500111N,THAR 5DOOR (W502),DIMN - DIMENSION,Centre distance,9,3.98,2.83
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA13980N,THAR 5DOOR (W502),INNER DIAMETER,Seal Pressing ID,62.0 +0.048/-0.00,3.521,2.818
DDH00079AB,HL Mando Anand  India Private Limit,1104AAA07211N,THAR 5DOOR (W502),OUTER DIAMETER,LWR IMS serration B,18.404,6.82,2.81
DDH00079AB,HL Mando Anand  India Private Limit,1104AAA07451N,THAR 5DOOR (W502),OUTER DIAMETER,UPR IMS serration A,18.404,6.82,2.81
DDP00123AD,Purflux Engine Systems India,0313CAS00091N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,5.95,2.8
DDU00161AA,UNO MINDARIKA PVT LTD,1105GUA00051N,THAR 5DOOR (W502),DIMN - DIMENSION,center distance,19.9,3.27,2.8
DDU00161AA,UNO MINDARIKA PVT LTD,1105GUA00051N,THAR 5DOOR (W502),DIMN - DIMENSION,centre distance,19.9,3.27,2.8
DDP00123AD,Purflux Engine Systems India,0313CAM00091N,THAR 5DOOR (W502),LEAKAGE,Leak Rate,0,3.05,2.78
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06070N,THAR 5DOOR (W502),OUTER DIAMETER,Seal Dia 63,63,2.97,2.78
DDU00161AA,UNO MINDARIKA PVT LTD,1803AW500141N,THAR 5DOOR (W502),DIMN - DIMENSION,Hole dia,5,3.03,2.78
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAC00911N,THAR 5DOOR (W502),OUTER DIAMETER,FDM OD,134.5,3.36,2.78
DDR00138AA,ROSENBERGER INTERCONNECT,1801CW502190N,THAR 5DOOR (W502),THICKNESS,Crimping Height,3.3,2.95,2.77
DDR00138AA,ROSENBERGER INTERCONNECT,1801CW502210N,THAR 5DOOR (W502),THICKNESS,Crimping Height,3.30,2.95,2.77
DDU00001AV,UNO MINDA LIMITED LIGHTING,1701GW500011N,THAR 5DOOR (W502),INNER DIAMETER,Inner dia,7,2.88,2.77
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA13980N,THAR 5DOOR (W502),DIMN - DIMENSION,ABS face height RH,52.45 ±0.15,2.866,2.74
DDS00033AF,STEEL STRIPS WHEELS LIMITED,0404AAA67771A,THAR 5DOOR (W502),DYNAMIC IMBALANCE,30 GM - Dynamic Imbalance,30,3.49,2.73
DDS00033AF,STEEL STRIPS WHEELS LIMITED,0404AAA67771N,THAR 5DOOR (W502),DYNAMIC IMBALANCE,30 Gram,30,3.49,2.73
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502980N,THAR 5DOOR (W502),POSITION,Trim Locator Sq Hole - X,2836.92,5.72,2.72
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06070N,THAR 5DOOR (W502),OUTER DIAMETER,Drum Dia,75.985/76.035,2.80,2.72
DDA00039AC,ALF ENGINEERING PVT LTD,0101EW503680N,THAR 5DOOR (W502),PROFILE,SP4- Hinge Tail Gate Matching Surface,0,3.52,2.71
DDR00138AA,ROSENBERGER INTERCONNECT,1801CW502190N,THAR 5DOOR (W502),THICKNESS,Crimping Height,0.78,3.16,2.71
DDR00138AA,ROSENBERGER INTERCONNECT,1801CW502210N,THAR 5DOOR (W502),THICKNESS,Crimping Height,0.78,3.16,2.71
DDM00001AJ,MINDA CORPORATION LIMITED,2301BW500071D,THAR 5DOOR (W502),EFFORRS,Operating Efforts-Down,2.5,3.37,2.66
DDA00039AC,ALF ENGINEERING PVT LTD,0101EW503680N,THAR 5DOOR (W502),PROFILE,SP1- Hinge Tail Gate Matching Surface,0,3.09,2.61
DDU00161AA,UNO MINDARIKA PVT LTD,1203HW500061N,THAR 5DOOR (W502),DIMN - DIMENSION,Hole diameter,4.5,2.68,2.61
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAB03771N,THAR 5DOOR (W502),INNER DIAMETER,Diameter of FDM opening,130.50,2.98,2.61
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA15040N,THAR 5DOOR (W502),INNER DIAMETER,Flange ID - RH side 62,62.0 +0.048/-0.00,3.156,2.605
DDU00161AA,UNO MINDARIKA PVT LTD,1105GAA01261N,THAR 5DOOR (W502),DIMN - DIMENSION,center distance,23.25,3.17,2.6
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA15040N,THAR 5DOOR (W502),INNER DIAMETER,Flange ID  - RH side,102.04 +0.04/-0.0,2.798,2.587
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06660N,THAR 5DOOR (W502),OUTER DIAMETER,Drum Dia,76.01,2.64,2.58
DDL00022AA,LUMAX INDUSTRIES LIMITED,1701AW500091N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,9.7,2.86,2.56
DDL00022AA,LUMAX INDUSTRIES LIMITED,1701AW500101N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,9.7,2.86,2.56
DDL00022AA,LUMAX INDUSTRIES LIMITED,1701AW500111N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,9.7,2.86,2.56
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),EFFORRS,Seat forward sliding effort,100,3.172,2.554
DDL00022AA,LUMAX INDUSTRIES LIMITED,1701AW500111N,THAR 5DOOR (W502),INNER DIAMETER,DImension,9,3.27,2.55
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06200N,THAR 5DOOR (W502),OUTER DIAMETER,Wheel rim Dia,65,2.87,2.54
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06660N,THAR 5DOOR (W502),OUTER DIAMETER,Seal Dia 63,63,2.90,2.54
DDU00161AA,UNO MINDARIKA PVT LTD,1203HW500061N,THAR 5DOOR (W502),DIMN - DIMENSION,lock rib dimn,7.83,6.64,2.54
DDU00161AA,UNO MINDARIKA PVT LTD,1105GUA00051N,THAR 5DOOR (W502),DIMN - DIMENSION,center distance,31.5,3.26,2.53
DDM00018AC,Motherson Sumi Wiring,1801AW502970N,THAR 5DOOR (W502),THICKNESS,Crimping Height,1.10,3.63,2.52
DDS00033AF,STEEL STRIPS WHEELS LIMITED,0404AAA67771A,THAR 5DOOR (W502),STATIC IMBALANCE,500 GM.CM,500,3.91,2.51
DDU00161AA,UNO MINDARIKA PVT LTD,1105GAA00411N,THAR 5DOOR (W502),DIMN - DIMENSION,Centre distance,19.5,3.27,2.51
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06660N,THAR 5DOOR (W502),OUTER DIAMETER,Wheel Rim Dia,65,2.79,2.5
DDB00131AA,BEHR HELLA THERMOCONTROL PVT,1204CW500011N,THAR 5DOOR (W502),INNER DIAMETER,Centre distance,100,2.64,2.49
DDH00079AB,HL Mando Anand  India Private Limit,1104AAA07451N,THAR 5DOOR (W502),OUTER DIAMETER,Outer Tube Diameter,45,2.76,2.49
DDH00331AB,HANON AUTOMOTIVE SYSTEMS,0304ABH00881N,THAR 5DOOR (W502),DIMN - DIMENSION,Outlet Tank Spout diameter,36,2.69,2.49
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW503990N,THAR 5DOOR (W502),POSITION,Seat Locator 2- Y,-591.001,3.51,2.48
DDB00131AA,BEHR HELLA THERMOCONTROL PVT,1204CW500011N,THAR 5DOOR (W502),DIMN - DIMENSION,Dia,4.5,2.50,2.48
DDH00331AB,HANON AUTOMOTIVE SYSTEMS,0304ABH00881N,THAR 5DOOR (W502),DIMN - DIMENSION,Inlet Tank Spout diameter,36,2.68,2.48
DDL00002AA,Ls Automotive India,0109ES200141N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,86.9,3.09,2.47
DDI00001AC,IAC INTERNATIONAL AUTOMOTIVE INDIA,2301FW501680N,THAR 5DOOR (W502),EFFORRS,Armrest Opening Effort,12,2.56,2.45
DDH00005AA,HARMAN INTERNATIONAL INDIA,1503AAA03111N,THAR 5DOOR (W502),DIMN - DIMENSION,Screwing Torque,2.6,2.86,2.44
DDU00001AV,UNO MINDA LIMITED LIGHTING,1703AW500081N,THAR 5DOOR (W502),INNER DIAMETER,Dimension,8,2.51,2.44
DDU00161AA,UNO MINDARIKA PVT LTD,1105GAA01261N,THAR 5DOOR (W502),DIMN - DIMENSION,center distance,31.5,3.28,2.44
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,BODY MTG R4- Y,437.003,2.77,2.43
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),EFFORRS,HR operating effort DOWN,30,2.929,2.429
DDU00161AA,UNO MINDARIKA PVT LTD,1105GAA00411N,THAR 5DOOR (W502),DIMN - DIMENSION,center distance,31.5,3.31,2.42
DDJ00038AD,JBM AUTO LIMITED,0102FW500030N,THAR 5DOOR (W502),PROFILE,SP3- CTQ Panel Matching Surface,0,2.38,2.41
DDN00085XA,NOBEL AUTOMOTIVE INDIA PVT LTD,1001BAB01251N,THAR 5DOOR (W502),THICKNESS,Diesel Filler Pipe Thickness,1.5,2.42,2.41
DDN00379AD,NHK SPRING INDIA LTD.,0401EBB01491N,THAR 5DOOR (W502),HARDNESS,341 to 415 BHN,378,2.42,2.41
DDT00060AA,TENNECO AUTOMOTIVE INDIA,0403ABB01371N,THAR 5DOOR (W502),TORQUE,NUT TIGHTENING TORQUE,40,2.67,2.41
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06670N,THAR 5DOOR (W502),OUTER DIAMETER,Seal Dia 63,63,2.67,2.41
DDP00123AD,Purflux Engine Systems India,0313CAM00091N,THAR 5DOOR (W502),TORQUE,Torque,6.5,2.47,2.4
DDU00161AA,UNO MINDARIKA PVT LTD,1105GAA01261N,THAR 5DOOR (W502),DIMN - DIMENSION,Centre distance,23,3.07,2.4
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAC00911N,THAR 5DOOR (W502),PART WEIGHT,Weight of tank body,7290,4.95,2.4
DDH00331AA,HANON AUTOMOTIVE SYSTEMS,0304ABG00331N,THAR 5DOOR (W502),DIMN - DIMENSION,External Fin height,7.35,2.53,2.39
DDH00331AA,HANON AUTOMOTIVE SYSTEMS,0304ABH00931N,THAR 5DOOR (W502),DIMN - DIMENSION,External Fin height,7.35,2.53,2.39
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),EFFORRS,Seat rearward sliding effort,50,2.812,2.386
DDN00085XA,NOBEL AUTOMOTIVE INDIA PVT LTD,1001BAC00341N,THAR 5DOOR (W502),THICKNESS,Gasoline Filler Pipe Thickness,1.5,3.03,2.38
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06070N,THAR 5DOOR (W502),OUTER DIAMETER,Seal Dia 40,40,2.63,2.38
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAB03771N,THAR 5DOOR (W502),THICKNESS,Bottom side,3,4.97,2.38
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,Fascia Bumper RR 4 Way Locator- Y,-20.000,2.81,2.37
DDB00131AA,BEHR HELLA THERMOCONTROL PVT,1204CW500011N,THAR 5DOOR (W502),INNER DIAMETER,CD,100,2.51,2.37
DDT00060AA,TENNECO AUTOMOTIVE INDIA,0403ABB01371N,THAR 5DOOR (W502),INNER DIAMETER,Bush Mtg ID,14.25,2.56,2.37
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAC00911N,THAR 5DOOR (W502),THICKNESS,Bottom side,3,5.00,2.36
