Vendor,Vendor Name,Part No,Model,Characteristic,Characteristic Description,Specification,Cp,CpK
DDH00331AA,HANON AUTOMOTIVE SYSTEMS,0304ABG00331N,THAR 5DOOR (W502),DIMN - DIMENSION,Internal Fin height,9.12,2.16,2.01
DDH00331AA,HANON AUTOMOTIVE SYSTEMS,0304ABH00931N,THAR 5DOOR (W502),DIMN - DIMENSION,Internal Fin Height,9.12,2.16,2.01
DDJ00038AD,JBM AUTO LIMITED,0102FW500040N,THAR 5DOOR (W502),PROFILE,SP2- CTQ Panel Matching Surface,0,1.84,2.01
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA70781N,THAR 5DOOR (W502),RUNOUT,Lateral Runout - 0.3 mm,0.3,2.16,2.01
DDM00811AA,MINDA VAST ACCESS SYSTEMS,0114GW500021N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,172.6,3.58,2.0
DDH00079AB,HL Mando Anand  India Private Limit,1104AAA07451N,THAR 5DOOR (W502),DIMN - DIMENSION,Capsule Center to Top Face,239.2,2.00,2.0
DDN00085XA,NOBEL AUTOMOTIVE INDIA PVT LTD,1001BAC00341N,THAR 5DOOR (W502),OUTER DIAMETER,Gasoline Filler Pipe OD,36,2.08,2.0
DDR00083AC,RANE MADRAS LIMITED,1101AAA03621N,THAR 5DOOR (W502),DIMN - DIMENSION,UJ MILLING CENTRE POINT,6.35,2.077,1.997
DDI00001AC,IAC INTERNATIONAL AUTOMOTIVE INDIA,2301FW501680N,THAR 5DOOR (W502),EFFORRS,Armrest Sliding forward,12,2.47,1.99
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502980N,THAR 5DOOR (W502),POSITION,Trim Locator Sq Hole-  Z,1770.983,4.53,1.99
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06200N,THAR 5DOOR (W502),OUTER DIAMETER,Toner Ring Dia,40.70,2.15,1.99
DDU00001AV,UNO MINDA LIMITED LIGHTING,1701DW500031N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,50,2.10,1.99
DDU00001AV,UNO MINDA LIMITED LIGHTING,1701GW500011N,THAR 5DOOR (W502),INNER DIAMETER,Dimension,50,2.10,1.99
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW503850N,THAR 5DOOR (W502),PROFILE,SP1- FUEL BOX Matching Surface,0,2.22,1.98
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA66851N,THAR 5DOOR (W502),STATIC IMBALANCE,Static Imbalance - 500 GM.CM,500,2.02,1.97
DDJ00038AD,JBM AUTO LIMITED,0102FW500040N,THAR 5DOOR (W502),PROFILE,SP3- CTQ Panel Matching Surface,0,2.23,1.96
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA66851N,THAR 5DOOR (W502),STATIC IMBALANCE,Static Imbalance - 30 GM,30,2.26,1.96
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA70781N,THAR 5DOOR (W502),RUNOUT,Radial out,0.3,2.15,1.96
DDM00096AC,MSL DRIVELINE SYSTEMS LIMITED,0501AAA05691N,THAR 5DOOR (W502),INNER DIAMETER,Flange Yoke Bolt hole Diameter ID,12.6,2.16,1.95
DDM00106AA,MARQUARDT INDIA PVT LTD.,1105BAA02271N,THAR 5DOOR (W502),DIMN - DIMENSION,Length,12,2.04,1.95
DDU00161AA,UNO MINDARIKA PVT LTD,1705DW500081N,THAR 5DOOR (W502),DIMN - DIMENSION,Hole diameter,5.5,2.05,1.95
DDU00161AA,UNO MINDARIKA PVT LTD,1705DW500071N,THAR 5DOOR (W502),DIMN - DIMENSION,Gap between knob & rib,0.5,1.99,1.94
DDM00001AJ,MINDA CORPORATION LIMITED,2301BW500071D,THAR 5DOOR (W502),EFFORRS,Operating Efforts-Open,0.1,2.55,1.93
DDJ00038AD,JBM AUTO LIMITED,0102FW500030N,THAR 5DOOR (W502),PROFILE,SP1- CTQ Panel Matching Surface,0,2.01,1.92
DDT00044AB,TATA TOYO RADIATOR LTD,0702AAJ00221N,THAR 5DOOR (W502),OUTER DIAMETER,Bead OD,12.94,2.04,1.92
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA13980N,THAR 5DOOR (W502),DIMN - DIMENSION,ABS face height LH,52.45 ±0.15,2.052,1.918
DDS00023AA,SENSORTEC INNOVATION INDIA,1312BW500111V,THAR 5DOOR (W502),DIMN - DIMENSION,Soldering temperature,360,1.97,1.91
DDS00033AF,STEEL STRIPS WHEELS LIMITED,0404AAA67771A,THAR 5DOOR (W502),RUNOUT,Lateral Runout - 0.3 mm,0.3,2.24,1.91
DDS00033AF,STEEL STRIPS WHEELS LIMITED,0404AAA67771N,THAR 5DOOR (W502),RUNOUT,Lateral Runout - 0.3 mm,0.3,2.24,1.91
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06200N,THAR 5DOOR (W502),OUTER DIAMETER,Bearing Dia,49,2.20,1.91
DDS00023AA,SENSORTEC INNOVATION INDIA,1312BW500061N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,23,1.97,1.9
DDS00023AA,SENSORTEC INNOVATION INDIA,1312BW500111V,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,23,2,1.9
DDS00023AA,SENSORTEC INNOVATION INDIA,1312BW500111A,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,23,1.93,1.89
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,BODY MTG R4- Z,713.65,2.49,1.88
DDM00001AJ,MINDA CORPORATION LIMITED,2301BW500071D,THAR 5DOOR (W502),EFFORRS,Operating Efforts-Right to Left,2.5,2.53,1.88
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA70781N,THAR 5DOOR (W502),STATIC IMBALANCE,Static Imbalance - 750 GM.CM,750,2.01,1.88
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA70781N,THAR 5DOOR (W502),STATIC IMBALANCE,Static Imbalance - 750 GM.CM,750,2.01,1.88
DDM00106AA,MARQUARDT INDIA PVT LTD.,1105BAA02271N,THAR 5DOOR (W502),DIMN - DIMENSION,CD,34,2.07,1.87
DDU00161AA,UNO MINDARIKA PVT LTD,1203HW500051N,THAR 5DOOR (W502),DIMN - DIMENSION,Lock rib distance to wall,20,1.93,1.87
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701BAA01191N,THAR 5DOOR (W502),INNER DIAMETER,Dimension,10,2.10,1.86
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701BAA01201N,THAR 5DOOR (W502),INNER DIAMETER,Dimension,10,2.10,1.86
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701BAA01201N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,10,2.10,1.86
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701BAA01201N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,10.1,2.10,1.86
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA66851N,THAR 5DOOR (W502),RUNOUT,Radial Runout - 0.3 mm,0.3,1.93,1.86
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),EFFORRS,Headrest bezel lock knob operating effort,20,2.648,1.859
DDA00267AA,AAM AUTO COMPONENT (INDIA),0502EUA00201N,THAR 5DOOR (W502),OUTER DIAMETER,MOTOR END BEARING OD,45.726,1.97,1.85
DDM00125AA,MAHABAL METALS PVT LTD,0601AAA00900N,THAR 5DOOR (W502),THICKNESS,Hat Thickness,7,2.01,1.85
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),EFFORRS,HR operating effort DOWN,30,2.446,1.845
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),EFFORRS,HR operating effort UP,50,3.291,1.833
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW503850N,THAR 5DOOR (W502),POSITION,FUEL BOX MTG 1- X,4133.283,2.01,1.83
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW503850N,THAR 5DOOR (W502),PROFILE,SP2- FUEL BOX Matching Surface,0,2.17,1.83
DDE00070AA,ESSAE GEARS AND TRANSMISSIONS,0502BAA14010N,THAR 5DOOR (W502),OUTER DIAMETER,Spigot OD,56.97,2.86,1.83
DDH00331AA,HANON AUTOMOTIVE SYSTEMS,0304ABG00331N,THAR 5DOOR (W502),DIMN - DIMENSION,Inlet Spout OD1,0,1.90,1.83
DDI00001AC,IAC INTERNATIONAL AUTOMOTIVE INDIA,2301FW501680N,THAR 5DOOR (W502),EFFORRS,Armrest Closing Effort,12,1.92,1.83
DDM00001AJ,MINDA CORPORATION LIMITED,2301BW500071D,THAR 5DOOR (W502),EFFORRS,Operating Efforts-Close,0.1,2.62,1.83
