Serial Number,Attribution,SAP Claim No,Commodity,Decision
S2B26272,ANALYSIS SCRAP,,,SM
S2B26272,ANALYSIS SCRAP,,,SM
S2B26272,ANALYSIS SCRAP,,,SM
S2B26272,ANALYSIS SCRAP,,,SM
S2C35794,ANALYSIS SCRAP,,,SM
S2C35818,ANALYSIS SCRAP,,,SM
S2C44855,ANALYSIS SCRAP,,,SM
S2D11307,ANALYSIS SCRAP,,,SM
S2D11416,ANALYSIS SCRAP,,,SM
S2D11416,ANALYSIS SCRAP,,,SM
S2D11416,ANALYSIS SCRAP,,,SM
S2D14269,ANALYSIS SCRAP,,,SM
R2J39648,,,,RV
R2L16413,,,,RV
R2M30576,,,,RV
S2A15115,,,,RV
S2B26272,,,,RV
S2B27260,,,,RV
R2G18243,,,,SM
R2H29313,ANALYSIS SCRAP,,,SM
R2J33724,,,,SM
R2J35863,,,,SM
R2J41163,,,,SM
R2K43362,,,,SM
R2K45935,,,,SM
R2L19414,ANALYSIS SCRAP,,,SM
S2B26272,ANALYSIS SCRAP,,,SM
S2B26272,ANALYSIS SCRAP,,,SM
R2G13224,,,,RV
R2G13937,,,,RV
R2H19768,,,,RV
R2H26517,,,,RV
R2J33469,,,,RV
R2J33501,,,,RV
R2J33735,,,,RV
R2J35285,,,,RV
R2J37296,,,,RV
R2J39955,,,,RV
R2J40367,,,,RV
R2J40757,,,,RV
R2J41120,,,,RV
R2K10558,,,,RV
R2K11502,,,,RV
R2K11571,,,,RV
R2K12985,,,,RV
R2K15485,,,,RV
R2K43525,,,,RV
R2K43981,,,,RV
R2K45503,,,,RV
R2K45565,,,,RV
R2K46041,,,,RV
R2K47206,,,,RV
R2K47653,,,,RV
R2K47743,,,,RV
R2L17409,,,,RV
R2L17970,,,,RV
R2L18030,,,,RV
R2L24138,,,,RV
R2L25275,,,,RV
R2L25778,,,,RV
R2L26271,,,,RV
R2L26378,,,,RV
R2L27057,,,,RV
R2L27160,,,BODY,RV
R2M28758,,,,RV
R2M28790,,,,RV
R2M33264,,,,RV
R2M33506,,,,RV
R2M33717,,,,RV
R2M34193,,,,RV
R2M34332,,,,RV
R2M34461,,,,RV
R2M34575,,,,RV
R2M35052,,,,RV
R2M35252,,,,RV
R2M35991,,,,RV
R2M37153,,,,RV
R2M37227,,,,RV
S2A11860,,,,RV
S2A19796,,,,RV
S2A19881,,,,RV
S2A20095,,,,RV
S2A22862,,,,RV
S2B33528,,,,RV
S2C36532,,,,RV
S2C40782,,,,RV
S2C41899,,,,RV
S2C43466,,,,RV
S2C43984,,,,RV
S2C46194,,,,RV
S2C47027,,,,RV
S2D14298,,,,RV
S2D15889,,,,RV
S2D17020,,,,RV
S2D17440,,,,RV
S2D19932,,,,RV
S2D20039,,,,RV
S2D21172,,,,RV
S2D21353,,,,RV
S2D21527,,,,RV
S2D22122,,,,RV
S2E28069,,,,RV
S2E29384,,,,RV
S2E31833,,,,RV
S2F39528,,,,RV
S2F43753,,,,RV
R2H19987,,,,RS
R2K45669,PSC - DNR,,,RS
R2K45669,PSC - DNR,,,RS
S2B26982,,,,RS
S2F39438,,,,PSC
R2G15199,,,,MTN
R2G15416,,,,MTN
R2K15921,,,,MTN
R2M32483,,,,MTN
R2M35689,,,,MTN
S2B28140,,,,MTN
S2C39018,,,,MTN
S2C41528,,,,MTN
S2D12715,,,,MTN
S2D14582,,,,MTN
S2D15258,,,,MTN
S2D15276,,,,MTN
S2D16834,,,,MTN
S2D18643,,,,MTN
S2D19330,,,,MTN
S2D19373,,,,MTN
S2D20351,,,,MTN
S2D21141,,,,MTN
S2E25083,,,,MTN
S2E26859,,,,MTN
S2E30718,,,,MTN
S2E31041,,,,MTN
S2F36929,,,,MTN
S2F39234,,,,MTN
S2F41605,,,,MTN
R2H29837,,,,SM
R2J33889,,,,SM
R2K14170,,,,SM
R2K14380,,,,SM
R2K44871,,,,SM
R2K46449,,,,SM
R2K48755,,,,SM
R2L23517,,,,SM
R2L24589,,,,SM
R2L27768,,,,SM
R2M31099,,,,SM
R2M33971,,,,SM
S2A14832,,,,SM
S2A21302,,,,SM
S2A21798,,,,SM
S2B23633,,,,SM
S2B23877,,,,SM
S2B24650,,,,SM
S2B26937,,,,SM
S2B27472,,,,SM
S2D17176,,,,SM
R2G11820,,,,RV
R2G11820,,,,RV
