TDATE,BOMPARTNO,VINNumber,ScanValue
2024-12-01,2401AW500701A,MA1UN2YZ7R2M28326,021:2401AW500701A:DM203B:301124:1:SIN-301124-133280NSK01
2024-12-01,2401AW500691A,MA1UN2YZ7R2M28326,020:2401AW500691A:DM203B:301124:1:SIN-301124-133279NSK01
2024-12-01,2301AW502180N,MA1UN2JW7R2M28365, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,2301AW502200N,MA1UN2JW7R2M28365, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28365,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0566
2024-12-01,2402AW500281A,MA1UN2YZ7R2M28333,022:2402AW500281A:DM203B:301124:01:SIN-301124-890659NSK01
2024-12-01,2401AW500701A,MA1UN2YZ7R2M28333,021:2401AW500701A:DM203B:301124:1:SIN-291124-132553NSK01
2024-12-01,2401AW500691A,MA1UN2YZ7R2M28333,020:2401AW500691A:DM203B:301124:1:SIN-301124-133277NSK01
2024-12-01,2301AW502200N,MA1UN2JW7R2M28366, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,2301AW502180N,MA1UN2JW7R2M28366, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28366,000:1501AAA00851N:DD013IA:291024:02:000000P2:005:0564
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28367,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0708
2024-12-01,2301AW502250N,MA1UN2YY2R2M28367, 019:2301AW502250N:DI061A:291124:02:000
2024-12-01,2301AW502190N,MA1UN2YY2R2M28367, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,2301AW502250N,MA1UN2YY2R2M28368, 019:2301AW502250N:DI061A:291124:02:000
2024-12-01,2301AW502190N,MA1UN2YY2R2M28368, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28368,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0709
2024-12-01,2402AW500281A,MA1UN4KY7R2M28332,022:2402AW500281A:DM203B:291124:03:SIN-291124-884400NSK01
2024-12-01,2401AW500821A,MA1UN4KY7R2M28332,021:2401AW500821A:DM203B:301124:1:SIN-281124-132007NSK01
2024-12-01,2401AW500811A,MA1UN4KY7R2M28332,020:2401AW500811A:DM203B:301124:1:SIN-301124-133202NSK01
2024-12-01,2402AW500241A,MA1UN2YY2R2L28214,
2024-12-01,2401AW500631A,MA1UN2YY2R2L28214,021:2401AW500631A:DM203B:291124:2:SIN-291124-132848NSK01
2024-12-01,2401AW500611A,MA1UN2YY2R2L28214,020:2401AW500611A:DM203B:291124:1:SIN-291124-132663NSK01
2024-12-01,2402AW500281A,MA1UN2YY2R2M28343,022:2402AW500281A:DM203B:291124:02:SIN-291124-887077NSK01
2024-12-01,2401AW500821A,MA1UN2YY2R2M28343,021:2401AW500821A:DM203B:301124:1:SIN-301124-133175NSK01
2024-12-01,2401AW500811A,MA1UN2YY2R2M28343,020:2401AW500811A:DM203B:301124:1:SIN-301124-133183NSK01
2024-12-01,2301AW502250N,MA1UN2YY2R2M28378, 019:2301AW502250N:DI061A:291124:02:000
2024-12-01,2301AW502190N,MA1UN2YY2R2M28378, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05331N,MA1UN2YY2R2M28378,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0712
2024-12-01,2301AW502250N,MA1UN2JW7R2M28379, 019:2301AW502250N:DI061A:291124:02:000
2024-12-01,2301AW502190N,MA1UN2JW7R2M28379, 311:2301AW502190N:DI061A:291124:02:000
2024-12-01,1501BAA05331N,MA1UN2JW7R2M28379,000:1501BAA05331N:DD013IA:241024:01:000000P2:005:0710
2024-12-01,2402AW500241A,MA1UN2YY2R2M28338,022:2402AW500241A:DM203B:301124:01:0000105-NSK01
2024-12-01,2401AW500631A,MA1UN2YY2R2M28338,021:2401AW500631A:DM203B:301124:1:SIN-301124-133406NSK01
2024-12-01,2401AW500611A,MA1UN2YY2R2M28338,020:2401AW500611A:DM203B:291124:2:SIN-291124-132849NSK01
2024-12-01,2402AW500251A,MA1UN2JW7R2M28345,022:2402AW500251A:DM203B:291124:01:0000199-NSK01
2024-12-01,2401AW500641A,MA1UN2JW7R2M28345,021:2401AW500641A:DM203B:291124:2:SIN-291124-132888NSK01
2024-12-01,2401AW500621A,MA1UN2JW7R2M28345,020:2401AW500621A:DM203B:291124:2:SIN-291124-132694NSK01
2024-12-01,2301AW502200N,MA1UN2YZ7R2M28380, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,2301AW502180N,MA1UN2YZ7R2M28380, 019:2301AW502180N:DI061A:281124:01:000
2024-12-01,1501AAA00851N,MA1UN2YZ7R2M28380,000:1501AAA00851N:DD013IA:281024:02:000000P2:005:0470
2024-12-01,2301AW502180N,MA1UN2JW7R2M28381, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,2301AW502200N,MA1UN2JW7R2M28381, 311:2301AW502200N:DI061A:241124:02:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28381,000:1501AAA00851N:DD013IA:281024:02:000000P2:005:0488
2024-12-01,2301AW502200N,MA1UN2JW7R2M28382, 311:2301AW502200N:DI061A:161124:02:460
2024-12-01,2301AW502180N,MA1UN2JW7R2M28382, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28382,000:1501AAA00851N:DD013IA:281024:02:000000P2:005:0444
2024-12-01,2301AW502180N,MA1UN2JW7R2M28383, 019:2301AW502180N:DI061A:281124:02:000
2024-12-01,2301AW502200N,MA1UN2JW7R2M28383, 311:2301AW502200N:DI061A:241124:01:000
2024-12-01,1501AAA00851N,MA1UN2JW7R2M28383,000:1501AAA00851N:DD013IA:281024:02:000000P2:005:0472
